"Employment income statistics by major field of study (detailed, 4-digit) and highest level of education: Canada, provinces and territories"
"Frequency: Occasional"
"Table: 98-10-0409-01"
"Release date: 2023-10-04"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over in private households, 2021 Census — 25% Sample data"
"Variable List: Major field of study - Classification of Instructional Programs (CIP) 2021 (500), Gender (3), Age (15A), Highest certificate, diploma or degree (16), Work activity during the reference year (5), Income year (2), Employment income statistics (7)"

"Geography","Canada i1",,,,,,
"Gender (3) 1 2","Total - Gender",,,,,,
"Age (15A) 3","Total - Age",,,,,,
"Highest certificate, diploma or degree (16) 4","Bachelor's degree",,,,,,
"Work activity during the reference year (5) 5","Total - Work activity during the reference year 6",,,,,,
"Income year (2)","2020",,,,,,
"Employment income statistics (7)","Total - Employment income statistics 8 9 10 11","With employment income","Median employment income ($)","Average employment income ($)","With wages, salaries and commissions","Median wages, salaries and commissions ($)","Average wages, salaries and commissions ($)"
"14.38 Surveying engineering","3,015","2,400","72,000","75,100","2,225","74,000","78,700"
"14.39 Geological/geophysical engineering","2,850","2,320","71,500","89,000","2,145","75,500","93,300"
"14.40 Paper science and engineering","40","25","x","110,000","25","x","110,000"
"14.41 Electromechanical engineering","1,200","930","54,800","66,800","865","56,000","70,000"
"14.42 Mechatronics, robotics, and automation engineering","3,810","3,340","61,200","68,300","3,190","62,400","69,800"
"14.43 Biochemical engineering","435","355","72,000","80,800","345","73,000","81,600"
"14.44 Engineering chemistry","860","680","49,200","62,000","630","51,200","66,400"
"14.45 Biological/biosystems engineering","590","455","60,800","76,800","435","61,600","79,600"
"14.47 Electrical and computer engineering","1,720","1,510","85,000","91,300","1,440","87,000","94,500"
"14.48 Energy systems engineering","1,605","1,235","53,200","66,600","1,110","56,800","72,400"
"14.99 Engineering, other","6,715","5,450","47,600","59,900","5,070","51,200","62,250"
"15. Engineering/engineering-related technologies/technicians","20,450","17,025","55,200","62,850","15,885","58,000","65,600"
"15.00 General engineering technologies/technicians","1,665","1,390","57,600","63,750","1,285","60,000","66,500"
"15.01 Architectural engineering technology/technician","0","0","...","...","0","...","..."
"15.02 Civil engineering technology/technician","355","255","31,600","44,800","240","32,800","47,200"
"15.03 Electrical/electronic engineering technologies/technicians","8,315","7,130","59,200","62,150","6,760","61,600","64,600"
"15.04 Electromechanical technologies/technicians","1,685","1,300","50,400","58,200","1,170","54,800","62,100"
"15.05 Environmental control technologies/technicians","320","290","42,400","46,800","260","46,800","52,800"
"15.06 Industrial production technologies/technicians","535","465","62,400","60,200","440","63,600","63,200"
"15.07 Quality control and safety technologies/technicians","1,195","1,020","60,800","64,200","980","63,200","66,200"
"15.08 Mechanical engineering related technologies/technicians","1,000","825","39,600","44,800","765","41,600","46,900"
"15.09 Mining and petroleum technologies/technicians","1,395","1,035","50,800","78,200","900","56,800","87,000"
"15.10 Construction engineering technology/technician","0","0","...","...","0","...","..."
"15.11 Engineering-related technologies/technicians","0","0","...","...","0","...","..."
"15.12 Computer engineering technologies/technicians","2,080","1,725","56,800","72,000","1,625","57,200","72,800"
"15.13 Drafting/design engineering technologies/technicians","25","20","x","40,000","20","x","40,000"
"15.14 Nuclear engineering technology/technician","0","0","...","...","0","...","..."
"15.15 Engineering-related fields","1,310","1,095","58,400","66,600","985","60,000","69,200"
"15.16 Nanotechnology","510","430","52,000","61,400","425","52,000","61,200"
"15.17 Energy systems technologies/technicians","0","0","...","...","0","...","..."
"15.99 Engineering/engineering-related technologies/technicians, other","60","55","51,600","52,000","45","54,000","60,000"
"30.12 Historic preservation and conservation","80","70","24,600","32,000","70","36,400","33,000"
"46. Construction trades","0","0","...","...","0","...","..."
"46.00 Construction trades, general","0","0","...","...","0","...","..."
"46.01 Masonry/mason","0","0","...","...","0","...","..."
"46.02 Carpentry/carpenter","0","0","...","...","0","...","..."
"46.03 Electrical and power transmission installers","0","0","...","...","0","...","..."
"46.04 Building/construction finishing, management and inspection","0","0","...","...","0","...","..."
"46.05 Plumbing and related water supply services","0","0","...","...","0","...","..."
"46.99 Construction trades, other","0","0","...","...","0","...","..."
"47. Mechanic and repair technologies/technicians","0","0","...","...","0","...","..."
"47.00 Mechanics and repairers, general","0","0","...","...","0","...","..."
"47.01 Electrical/electronics maintenance and repair technologies/technicians","0","0","...","...","0","...","..."
"47.02 Heating, air conditioning, ventilation and refrigeration maintenance technology/technician","0","0","...","...","0","...","..."
"47.03 Heavy/industrial equipment maintenance technologies/technicians","0","0","...","...","0","...","..."
"47.04 Precision systems maintenance and repair technologies/technicians","0","0","...","...","0","...","..."
"47.06 Vehicle maintenance and repair technologies/technicians","0","0","...","...","0","...","..."
"47.07 Energy systems maintenance and repair technologies/technicians","0","0","...","...","0","...","..."
"47.99 Mechanic and repair technologies/technicians, other","0","0","...","...","0","...","..."
"48. Precision production","1,260","915","36,800","44,500","825","40,800","47,500"
"48.00 Precision production trades, general","0","0","...","...","0","...","..."
"48.03 Leatherworking and upholstery","0","0","...","...","0","...","..."
"48.05 Precision metal working","0","0","...","...","0","...","..."
"48.07 Woodworking","0","0","...","...","0","...","..."
"48.08 Boilermaking/boilermaker","0","0","...","...","0","...","..."
"48.99 Precision production, other","1,260","915","36,800","44,500","825","40,800","47,500"
"Agriculture, natural resources and conservation","90,100","75,275","48,800","58,350","68,905","52,000","61,100"
"01. Agricultural and veterinary sciences/services/operations and related fields 13","46,815","37,485","44,800","55,000","33,220","48,400","58,650"
"01.00 Agriculture, general","19,040","14,785","42,400","55,850","12,600","47,600","61,050"
"01.01 Agricultural business and management","5,035","4,260","54,000","65,500","3,850","54,800","67,800"
"01.02 Agricultural mechanization","210","125","42,800","44,000","80","47,600","50,000"
"01.03 Agricultural production operations","1,505","1,215","40,400","43,600","1,105","42,000","44,000"
"01.04 Agricultural and food products processing","175","145","27,400","31,600","115","34,000","36,000"
"01.05 Agricultural and domestic animal services","20","20","x","40,000","20","x","50,000"
"01.06 Applied horticulture/horticultural business services","1,815","1,405","38,400","48,040","1,225","44,800","50,100"
"01.07 International agriculture","40","40","26,000","38,000","30","x","44,000"
"01.08 Agricultural public services","55","45","41,200","42,000","45","41,200","42,000"
"01.09 Animal sciences","4,425","3,670","39,200","47,880","3,325","42,800","51,750"
"01.10 Food science and technology","7,000","5,615","46,800","55,250","5,250","50,400","57,550"
"01.11 Plant sciences","6,490","5,445","48,400","54,400","4,905","51,600","57,450"
"01.12 Soil sciences","535","360","52,400","68,400","325","56,400","73,200"
"01.13 Agriculture/veterinary preparatory programs","45","35","37,600","32,000","25","x","40,000"
"01.80 Veterinary medicine (DVM)","0","0","...","...","0","...","..."
"01.81 Veterinary biomedical and clinical sciences (Cert., MS, MSc, PhD)","0","0","...","...","0","...","..."
"01.82 Veterinary administrative services","0","0","...","...","0","...","..."
"01.83 Veterinary/animal health technologies/technicians","160","140","30,000","33,500","140","30,000","33,000"
"01.99 Agricultural and veterinary sciences/services/operations and related fields, other","260","190","49,600","51,200","170","62,400","54,800"
"03. Natural resources and conservation","43,285","37,790","53,600","61,650","35,680","56,000","63,450"
"03.01 Natural resources conservation and research","27,610","24,865","52,400","59,300","23,605","54,400","60,750"
"03.02 Environmental/natural resources management and policy","4,110","3,705","49,200","60,050","3,510","52,000","61,900"
"03.03 Fishing and fisheries sciences and management","375","325","52,000","53,600","320","51,600","53,200"
"03.05 Forestry","10,665","8,490","62,800","70,500","7,855","66,000","73,700"
"03.06 Wildlife and wildlands science and management","450","355","29,400","40,200","340","30,800","40,800"
"03.99 Natural resources and conservation, other","75","55","34,000","48,000","55","34,000","46,000"
"Health and related fields","544,340","456,670","59,600","61,550","434,520","61,600","62,650"
"30.37 Design for human health","0","0","...","...","0","...","..."
"31. Parks, recreation, leisure, fitness, and kinesiology","103,320","87,115","43,200","52,850","79,785","46,000","54,650"
"31.01 Parks, recreation, and leisure studies","9,770","8,345","49,600","55,150","7,845","50,800","57,700"
"31.03 Parks, recreation, and leisure facilities management","270","230","46,800","56,400","230","43,600","54,800"
"31.05 Sports, kinesiology, and physical education/physical fitness","92,200","77,580","42,400","52,550","70,790","45,200","54,200"
"31.06 Outdoor education","1,060","940","50,000","59,600","900","54,400","61,800"
"31.99 Parks, recreation, leisure, fitness, and kinesiology, other","20","15","x","32,000","15","x","32,000"
"51. Health professions and related programs 13","440,880","369,435","64,000","63,600","354,615","65,500","64,400"
"51.00 General health services/allied health/health sciences","28,215","23,010","38,000","47,040","21,500","40,400","48,160"
"51.01 Chiropractic (DC)","460","350","30,000","53,000","175","24,800","51,200"
"51.02 Communication disorders sciences and services","1,945","1,510","35,600","40,680","1,370","38,000","42,600"
"51.04 Dentistry (DDS, DMD)","0","0","...","...","0","...","..."
"51.05 Advanced/graduate dentistry and oral sciences (Cert., MS, MSc, PhD)","0","0","...","...","0","...","..."
"51.06 Dental support services and allied professions","4,665","3,640","33,200","41,240","3,405","34,000","39,960"
"51.07 Health and medical administrative services","2,650","2,050","49,600","55,550","1,955","52,000","57,350"
"51.08 Allied health and medical assisting services","0","0","...","...","0","...","..."
"51.09 Allied health diagnostic, intervention and treatment professions","7,650","6,965","62,400","61,500","6,685","65,000","62,900"
"51.10 Clinical/medical laboratory science/research and allied professions","9,430","7,225","52,800","53,400","6,895","54,000","55,000"
"51.11 Health/medical preparatory programs","7,735","5,360","22,800","36,800","4,615","24,400","38,360"
"51.12 Medicine","0","0","...","...","0","...","..."
"51.14 Medical clinical sciences/graduate medical studies","0","0","...","...","0","...","..."
"51.15 Mental and social health services and allied professions","3,775","3,210","39,600","41,400","3,020","40,400","42,440"
"51.17 Optometry (OD)","0","0","...","...","0","...","..."
"51.18 Ophthalmic and optometric support services and allied professions","555","415","37,600","38,200","390","39,200","40,600"
"51.20 Pharmacy, pharmaceutical sciences and administration","46,465","36,590","77,000","77,200","34,725","78,000","76,600"
"51.22 Public health","6,135","5,160","43,200","50,040","4,975","44,400","50,920"
"51.23 Rehabilitation and therapeutic professions","35,360","29,245","55,600","56,550","25,980","58,000","58,000"
"51.26 Health aides/attendants/orderlies","0","0","...","...","0","...","..."
"51.27 Medical illustration and informatics","280","240","40,000","47,200","220","45,600","48,800"
"51.31 Dietetics and clinical nutrition services","5,770","4,215","46,800","50,240","3,900","48,000","51,350"
"51.32 Health professions education, ethics, and humanities","1,015","660","65,500","78,400","635","66,000","66,800"
"51.33 Alternative and complementary medicine and medical systems","1,505","1,105","22,400","31,050","760","28,400","37,100"
"51.34 Alternative and complementary medical support services","2,290","1,895","40,800","57,950","1,340","32,800","46,800"
"51.35 Somatic bodywork and related therapeutic services","275","265","22,400","24,000","150","14,100","22,000"
"51.36 Movement and mind-body therapies","45","35","7,050","11,000","20","x","9,000"
"51.37 Energy-based and biologically-based therapies","35","25","x","44,000","20","x","52,000"
"51.38 Registered nursing, nursing administration, nursing research and clinical nursing","274,630","236,240","71,000","66,600","231,870","71,500","67,300"
"51.39 Practical nursing, vocational nursing and nursing assistants","0","0","...","...","0","...","..."
"51.99 Health professions and related programs, other","0","0","...","...","0","...","..."
"60. Health professions residency/fellowship programs","135","120","108,000","94,000","120","108,000","92,000"
"60.01 Dental residency/fellowship programs","0","0","...","...","0","...","..."
"60.03 Veterinary residency/fellowship programs","0","0","...","...","0","...","..."
"60.07 Nurse practitioner residency/fellowship programs","135","120","108,000","94,000","120","108,000","92,000"
"60.08 Pharmacy residency/fellowship programs","0","0","...","...","0","...","..."
"60.09 Physician assistant residency/fellowship programs","0","0","...","...","0","...","..."
"60.99 Health professions residency/fellowship programs, other","0","0","...","...","0","...","..."
"61. Medical residency/fellowship programs","0","0","...","...","0","...","..."
"61.01 Combined medical residency/fellowship programs","0","0","...","...","0","...","..."
"61.02 Multiple-pathway medical fellowship programs","0","0","...","...","0","...","..."
"61.03 Allergy and immunology residency/fellowship programs","0","0","...","...","0","...","..."
"61.04 Anesthesiology residency/fellowship programs","0","0","...","...","0","...","..."
"61.05 Dermatology residency/fellowship programs","0","0","...","...","0","...","..."
"61.06 Emergency medicine residency/fellowship programs","0","0","...","...","0","...","..."
"61.07 Family medicine residency/fellowship programs","0","0","...","...","0","...","..."
"61.08 Internal medicine residency/fellowship programs","0","0","...","...","0","...","..."
"61.09 Medical genetics and genomics residency/fellowship programs","0","0","...","...","0","...","..."
"61.10 Neurological surgery residency/fellowship programs","0","0","...","...","0","...","..."
"61.11 Neurology residency/fellowship programs","0","0","...","...","0","...","..."
"61.12 Nuclear medicine residency/fellowship programs","0","0","...","...","0","...","..."
"61.13 Obstetrics and gynecology residency/fellowship programs","0","0","...","...","0","...","..."
"61.14 Ophthalmology residency/fellowship programs","0","0","...","...","0","...","..."
"61.15 Orthopedic surgery residency/fellowship programs","0","0","...","...","0","...","..."
"61.16 Osteopathic medicine residency/fellowship programs","0","0","...","...","0","...","..."
"61.17 Otolaryngology residency/fellowship programs","0","0","...","...","0","...","..."
"61.18 Pathology residency/fellowship programs","0","0","...","...","0","...","..."
"61.19 Pediatrics residency/fellowship programs","0","0","...","...","0","...","..."
"61.20 Physical medicine and rehabilitation residency/fellowship programs","0","0","...","...","0","...","..."
"61.21 Plastic surgery residency/fellowship programs","0","0","...","...","0","...","..."
"61.22 Podiatric medicine residency/fellowship programs","0","0","...","...","0","...","..."
"61.23 Preventive medicine residency/fellowship programs","0","0","...","...","0","...","..."
"61.24 Psychiatry residency/fellowship programs","0","0","...","...","0","...","..."
"61.25 Radiation oncology residency/fellowship programs","0","0","...","...","0","...","..."
"61.26 Radiology residency/fellowship programs","0","0","...","...","0","...","..."
"61.27 Surgery residency/fellowship programs","0","0","...","...","0","...","..."
"61.28 Urology residency/fellowship programs","0","0","...","...","0","...","..."
"61.99 Medical residency/fellowship programs, other","0","0","...","...","0","...","..."
"Personal, protective and transportation services","25,255","22,725","50,800","58,950","21,855","52,000","60,100"
"12. Culinary, entertainment, and personal services","1,180","1,020","29,600","33,900","1,000","29,600","34,200"
"12.03 Funeral service and mortuary science","0","0","...","...","0","...","..."
"12.04 Cosmetology and related personal grooming services","0","0","...","...","0","...","..."
"12.05 Culinary arts and related services","1,180","1,020","29,600","33,900","1,000","29,600","34,200"
"12.06 Casino operations and services","0","0","...","...","0","...","..."
"12.99 Culinary, entertainment, and personal services, other","0","0","...","...","0","...","..."
"28. Military science, leadership and operational art","965","775","91,000","85,400","710","93,000","91,200"
"28.08 Military science, leadership and operational artCAN","965","775","91,000","85,400","710","93,000","91,200"
"29. Military technologies and applied sciences","365","250","58,400","65,500","225","62,400","70,000"
"29.05 Military technologies and applied sciencesCAN","365","250","58,400","65,500","225","62,400","70,000"
"43. Security and protective services","16,310","15,145","52,400","58,850","14,700","53,600","59,800"
"43.01 Criminal justice and corrections","13,420","12,490","53,200","59,100","12,115","54,400","60,200"
"43.02 Fire protection","230","200","67,500","77,500","180","86,000","81,000"
"43.03 Security and protective services, specialized programs","820","785","62,400","66,600","765","62,400","66,400"
"43.04 Security science and technology","1,780","1,630","39,200","50,400","1,590","39,600","50,440"
"43.99 Security and protective services, other","60","50","81,000","76,000","50","81,000","76,000"
"49. Transportation and materials moving","6,425","5,535","48,400","59,900","5,215","49,600","61,200"
"49.01 Air transportation","2,770","2,295","51,600","66,100","2,130","54,000","67,700"
"49.02 Ground transportation","0","0","...","...","0","...","..."
"49.03 Marine transportation","3,360","3,000","47,600","55,850","2,875","48,400","56,800"
"49.99 Transportation and materials moving, other","300","245","30,200","50,800","210","38,400","56,400"
"Other","2,805","2,350","44,000","49,160","2,180","45,200","50,000"
"30.00 Inclusive postsecondary education","0","0","...","...","0","...","..."
"30.99 Multidisciplinary/interdisciplinary studies, other","2,805","2,350","44,000","49,160","2,180","45,200","50,000"

Symbol legend:
..., not applicable
x, suppressed to meet the confidentiality requirements of the Statistics Act


Abbreviation notes:

List of abbreviations and acronyms found within various Census products.
(https://www12.statcan.gc.ca/census-recensement/2021/ref/symb-ab-acr-eng.cfm)



iBall:
i1,"Geography name: Canada; Geographic area type: Country; Geographic area type abbreviation: Country; Geographic level: Country; Province or territory abbreviation: ...; Dissemination Geography Unique Identifier (DGUID): 2021A000011124; Alternative geographic code: 01; Province or territory geocode: 01; Long-form total non-response rate: 4.3; Data quality flag: 20000; Data quality note: Excludes census data for one or more incompletely enumerated reserves or settlements."



Footnotes:
1,"Gender  Gender refers to an individual's personal and social identity as a man, woman or non-binary person (a person who is not exclusively a man or a woman).   Gender includes the following concepts:   gender identity, which refers to the gender that a person feels internally and individually;   gender expression, which refers to the way a person presents their gender, regardless of their gender identity, through body language, aesthetic choices or accessories (e.g., clothes, hairstyle and makeup), which may have traditionally been associated with a specific gender.  A person's gender may differ from their sex at birth, and from what is indicated on their current identification or legal documents such as their birth certificate, passport or driver's licence. A person's gender may change over time.   Some people may not identify with a specific gender."
2,"Given that the non-binary population is small, data aggregation to a two-category gender variable is sometimes necessary to protect the confidentiality of responses provided. In these cases, individuals in the category “non-binary persons” are distributed into the other two gender categories and are denoted by the “+” symbol."
3,"Age    'Age' refers to the age of a person (or subject) of interest at last birthday (or relative to a specified, well-defined reference date)."
4,"Highest certificate, diploma or degree  Highest certificate, diploma or degree is the classification used in the census to measure the broader concept of 'Educational attainment.'  This variable refers to the highest level of education that a person has successfully completed and is derived from the educational qualifications questions, which asked for all certificates, diplomas and degrees to be reported.  The general hierarchy used in deriving this variable (high school, trades, college, university) is loosely tied to the 'in-class' duration of the various types of education. At the detailed level, someone who has completed one type of certificate, diploma or degree will not necessarily have completed the credentials listed below it in the hierarchy. For example, a person with an apprenticeship or trades certificate or diploma may not have completed a high school certificate or diploma, nor does an individual with a 'master's degree' necessarily have a 'university certificate or diploma above bachelor level.' Although the hierarchy may not fit all programs perfectly, it gives a general measure of educational attainment.  This variable is reported for persons aged 15 years and over in private households."
5,"Work activity during the reference year    'Work activity during the reference year' refers to whether or not a person 15 years or over worked during the reference year. For those who did work, this refers to the number of weeks in which the person worked for pay or in self-employment during the reference year at all jobs held, even if only for a few hours, and whether these weeks were mostly full time (30 hours or more per week) or mostly part time (less than 30 hours per week)."
6,"Refers to the number of weeks in which a person aged 15 years and over worked for pay or in self-employment in 2020 at all jobs held, even if only for a few hours, and whether these weeks were mostly full time (30 hours or more per week) or mostly part time (less than 30 hours per week)."
8,"Employment income - All income received as wages, salaries and commissions from paid employment and net self-employment income from farm or non-farm unincorporated business and/or professional practice during the reference period. For the 2021 Census, the reference period for income data is the calendar year 2020, unless otherwise specified."
9,"Wages, salaries and commissions - Gross wages and salaries before deductions for such items as income taxes, pension plan contributions and employment insurance premiums during the reference period. While other employee remuneration such as security options benefits, board and lodging and other taxable allowances and benefits are included in this source, employer's contributions to pension plans and employment insurance plans are excluded. Other receipts included in this source are military pay and allowances, tips, commissions and cash bonuses associated with paid employment, benefits from wage-loss replacement plans or income-maintenance insurance plans, supplementary unemployment benefits from an employer or union, research grants, royalties from a work or invention with no associated expenses and all types of casual earnings during the reference period."
10,"The median income of a specified group is the amount that divides the income distribution of that group into two halves, i.e., the incomes of half of the units in that group are below the median, while those of the other half are above the median. Median incomes of individuals are calculated for those with income (positive or negative)."
11,"Average income of a specified group is calculated by dividing the aggregate income of that group by the number of units in that group. Average incomes are calculated for those with income (positive or negative)."
7,"Major field of study (based on the Classification of Instructional Programs (CIP) Canada 2021)  Field of study refers to the discipline or area of learning or training associated with a particular course or program of study.  This 'Major field of study' variable refers to the predominant discipline or area of learning or training of a person's highest completed postsecondary certificate, diploma or degree, classified according to the Classification of Instructional Programs (CIP) Canada 2021.  This variable can be used either independently or in conjunction with the 'Highest certificate, diploma or degree' variable. When the latter is used with 'Major field of study,' it should be noted that different fields of study will be more common for different types of postsecondary qualifications. At the detailed program level, some programs are only offered at certain levels of education.  There was an explicit instruction in the questionnaire which instructed respondents to be as specific as possible in indicating a subfield or subcategory of specialization within a broad discipline or area of training.  This variable is reported for persons aged 15 years and over in private households."
12,"This variable shows the hierarchy of the 'alternative primary groupings' (a CIP variant) with detail on the two-digit series and the four-digit subseries. For more information on the CIP classification, see the Classification of Instructional Programs, Canada 2021: http://www.statcan.gc.ca/eng/concepts/classification. For information on classification and data quality for this variable, refer to the Education Reference Guide, Census of Population, 2021, Catalogue no. 98-500-X2021013."
13,"Veterinary medicine, veterinary science, veterinary technology, and veterinary administrative support services, which were included in series '51. Health professions and related programs' in CIP 2016, are now included in series '01. Agricultural and veterinary sciences/services/operations and related fields' in CIP 2021."



"How to cite: Statistics Canada. Table 98-10-0409-01  Employment income statistics by major field of study (detailed, 4-digit) and highest level of education: Canada, provinces and territories"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=9810040901
